Authors,DOI,Journal,Title,Abstract,IncludeAbstract,Reason,Flag for exclusion,Exclusion reason,Year,Linked records
"Honorio, NA; Wiggins, K; Eastmond, B; Camara, DCP; Alto, BW",10.3390/v11040353,VIRUSES-BASEL,Experimental Vertical Transmission of Chikungunya Virus by Brazilian and Florida Aedes Albopictus Populations,"Chikungunya virus (CHIKV) is a vector-borne alphavirus transmitted by the bites of mosquitoes, specifically infected, female mosquitoes of the invasive Aedes species. In nature, CHIKV can be maintained by vertical transmission, a phenomenon that relates to the transfer of CHIKV from the infected parent to their offspring within the ovary or during oviposition. In the present study, we conducted laboratory experiments to determine vertical transmission with Ae. albopictus populations from Brazil and Florida. Parental Ae. albopictus females were orally infected with the emergent Asian genotype of CHIKV in the first gonotrophic cycle (infectious blood meal) and tested for vertical transmission following the second (non-infectious blood meal) gonotrophic cycle. CHIKV infection and CHIKV viral titer in parental females were significantly related to population origin, with Brazilian Ae. albopictus showing higher viral dissemination and viral titer than the Florida population. Experimental vertical transmission of CHIKV was documented in one pool of female and four pools of male Ae. albopictus from Brazil (minimum infection rate, MIR, of 0.76% and 2.86%, respectively, for females and males). For the Florida population of Ae. albopictus, only one pool of males was positive for CHIKV infection, with an MIR of 1.06%. Our results demonstrate that Ae. albopictus populations from Brazil and Florida show heterogeneous CHIKV dissemination and vertical transmission, which may contribute to the epidemiology of CHIKV and may be particularly relevant to virus survival during inter-epidemic periods.",M,TBD,,,2019,"136,137"
"Jancarova, M; Bichaud, L; Hlavacova, J; Priet, S; Ayhan, N; Spitzova, T; Volf, P; Charrel, RN",10.3390/v11040332,VIRUSES-BASEL,Experimental Infection of Sand Flies by Massilia Virus and Viral Transmission by Co-Feeding on Sugar Meal,"Background: Massilia virus (MASV) is a phlebovirus isolated from Phlebotomus perniciosus in various regions of southwestern Europe. It is closely related to human pathogens such as Toscana virus and sandfly fever Naples virus. The natural cycle of phleboviruses is poorly understood. Indeed, experimental studies demonstrate that transovarial and sexual transmission are not efficient enough for the maintenance of the virus in nature and to date there is no convincing evidence that a species of vertebrates is the reservoir of the virus. Here, we studied various transmission routes of MASV taking advantage of experimental colonies representing different species of sand flies. Methodology/Principal findings: In P. perniciosus, four sources of infection were compared: (i) Virus-seeded larval food to the first instar larvae (L1), or (ii) to the fourth instar larvae (L4), (iii) virus-seeded blood meal to adult females, and (iv) virus-seeded sugar meal to adults of both sexes. From 875 adults emerged from infected L1 and L4, only three were positive. In females infected by bloodmeal the infection rate was high before defecation, then it decreased drastically; MASV RNA was detected in only 5 out of 27 post-defecation. Surprisingly, the most efficient route of infection was observed after intake of virus-seeded sugar meal: 72% of females (79/110) and 52% of males (51/99) were found to be MASV RNA-positive. In addition, MASV-infected sandflies regurgitated virus particules into the sugar drop and MASV RNA was detectable in this drop for at least 24 h after regurgitation. MASV RNA was detected in about one third of the P. perniciosus exposed to this sugar drop contaminated by regurgitation. Sugar meal infection was also tested with six other species of sand flies. In males, there were no significant differences in infection rates when compared to P. perniciosus. In females, most species tested showed high infection rate at the beginning but then significant gradual decrease in infection rate during the experiment. Conclusions/Significance: We present the first description of arboviral infection of a dipteran vector using sugar meal. In all seven sand fly species tested, MASV was detected for two weeks post-infection. Our results showed that MASV can be transmitted between P. perniciosus either through co-feeding or via an infected sugar source such as plant sap. These newly described routes of horizontal transmission may play an important role in the circulation of phleboviruses in nature.",Y,TBD,checked,,2019,
"Gonzalez, MA; Pavan, MG; Fernandes, RS; Busquets, N; David, MR; Lourenco-Oliveira, R; Garcia-Perez, AL; Maciel-de-Freitas, R",10.1186/s13071-019-3359-1,PARASITES & VECTORS,Limited risk of Zika virus transmission by five Aedes albopictus populations from Spain,"BackgroundAedes albopictus, the Asian tiger mosquito, is an exotic invasive species in Europe. It has substantial public health relevance due to its potential role in transmitting several human pathogens. Out of the European countries, Spain has one of the highest risk levels of autochthonous arbovirus transmission due to both the high density of Ae. albopictus and the extensive tourist influx from vector-endemic areas. This study aims to investigate the susceptibility of five Ae. albopictus populations from mainland Spain and the Balearic Islands to a Brazilian Zika virus (ZIKV) strain.MethodsThe F1 generation of each Ae. albopictus population was orally challenged with a ZIKV-infected blood meal (1.8x10(6)PFU/ml). At 7 and 14 days post-infection (dpi), mosquito bodies (thorax and abdomen) and heads were individually analysed through RT-qPCR to determine the infection rate (IR) and dissemination rate (DR), respectively. The saliva of infected mosquitoes was inoculated in Vero cells and the transmission rate was assessed by plaque assay or RT-qPCR on similar to 33 individuals per population.ResultsThe IR and DR ranged between 12-88%, and 0-60%, respectively, suggesting that ZIKV is capable of crossing the midgut barrier. Remarkably, no infectious viral particle was found in saliva samples, indicating a low ability of ZIKV to overcome the salivary gland barrier. A subsequent assay revealed that a second non-infective blood meal 48 h after ZIKV exposure did not influence Ae. albopictus vector competence.ConclusionsThe oral experimental ZIKV infections performed here indicate that Ae. albopictus from Spain become infected and disseminate the virus through the body but has a limited ability to transmit the Brazilian ZIKV strain through biting. Therefore, the results suggest a limited risk of autochthonous ZIKV transmission in Spain by Ae. albopictus.",Y,,,,2019,138
"Koenraadt, CJM; Mohlmann, TWR; Verhulst, NO; Spitzen, J; Vogels, CBF",10.1186/s13071-019-3400-4,PARASITES & VECTORS,Effect of overwintering on survival and vector competence of the West Nile virus vector Culex pipiens,"BackgroundWest Nile virus (WNV) is a mosquito-borne virus that is mainly transmitted among birds by Culex pipiens mosquitoes. The species Cx. pipiens consists of two biotypes named pipiens and molestus, which together can form hybrids. One of the major distinctions between the biotypes is their overwintering behaviour. Adults of biotype pipiens diapause during winter, whereas biotype molestus remains actively blood-feeding. Diapausing may affect survival and vector competence of biotype pipiens. The aims of this study were therefore to identify the biotype composition of diapausing Cx. pipiens mosquitoes, to quantify survival throughout the autumn and winter months, and to determine effects of overwintering on vector competence of emerging Cx. pipiens mosquitoes for WNV.MethodsDiapausing mosquitoes were collected at two typical overwintering locations in the Netherlands. A selection of Cx. pipiens mosquitoes was identified to biotype using real-time PCR. Survival of diapausing Cx. pipiens mosquitoes during autumn and winter was monitored by placing cages with either field-collected or laboratory-reared females in houses and sheds. Vector competence of field-collected (diapausing) and laboratory-reared (non-diapausing) Cx. pipiens mosquitoes was determined to gain insight in the effect of overwintering on WNV transmission.ResultsThe majority (92%) of diapausing Cx. pipiens females were identified as biotype pipiens. More than 70% of diapausing Cx. pipiens mosquitoes was able to survive for more than four months in sheds, whereas diapausing in houses resulted in 100% mortality in that same period. In contrast, non-diapausing Cx. pipiens biotype pipiens mosquitoes reared in the laboratory died within a week in both houses and sheds. Vector competence of Cx. pipiens mosquitoes that had diapaused during the autumn and winter months was comparable to non-diapausing laboratory-reared mosquitoes.ConclusionsThis study confirms that the majority of Cx. pipiens mosquitoes in their typical overwintering site belongs to the pipiens biotype. It shows that more than two-third of diapausing Cx. pipiens mosquitoes is able to survive winter under sheltered winter conditions. Finally, vector competence for WNV of mosquitoes that emerge from overwintering sites is not affected by their relatively old age.",Y,TBD,,,2019,"139,140"
"Amraoui, F; Ben Ayed, W; Madec, Y; Faraj, C; Himmi, O; Btissam, A; Sarih, M; Failloux, AB",10.1371/journal.pntd.0006997,PLOS NEGLECTED TROPICAL DISEASES,Potential of Aedes albopictus to cause the emergence of arboviruses in Morocco,"In 2015, the mosquito Aedes albopictus was detected in Rabat, Morocco. This invasive species can be involved in the transmission of more than 25 arboviruses. It is known that each combination of mosquito population and virus genotype leads to a specific interaction that can shape the outcome of infection. Testing the vector competence of local mosquitoes is therefore a prerequisite to assess the risks of emergence. A field-collected strain of Ae. albopictus from Morocco was experimentally infected with dengue (DENV), chikungunya (CHIKV), zika (ZIKV) and yellow fever (YFV) viruses. We found that this species can highly transmit CHIKV and to a lesser extent, DENV, ZIKV and YFV. Viruses can be detected in mosquito saliva at day 3 (CHIKV), day 14 (DENV and YFV), and day 21 (ZIKV) post-infection. These results suggest that the local transmission of these four arboviruses by Ae. albopictus newly introduced in Morocco is a likely scenario. Trial registration: ClinicalTrials.gov APAFIS#6573-201606l412077987v2. Author summary The Asian tiger mosquito Aedes albopictus is responsible for the transmission of several arboviruses such as dengue and chikungunya viruses. In 30 to 40 years, it has extended its geographical distribution in both tropical and temperate regions of all continents. The species was first detected in September 2015, in Rabat, Morocco. Using experimental infections, we demonstrated that Ae. albopictus Morocco are competent to transmit zika and yellow fever viruses in addition to the transmission of dengue and chikungunya viruses. Our results are central to suggest developing the most effective national surveillance program and to designing the most suitable control strategy to avoid the mosquito spreading beyond its point of entry in Morocco.",Y,,,,2019,"142,143,144,141"
"Gaye, A; Wang, EY; Vasilakis, N; Guzman, H; Diallo, D; Talla, C; Ba, Y; Dia, I; Weaver, SC; Diallo, M",10.1371/journal.pntd.0007043,PLOS NEGLECTED TROPICAL DISEASES,"Potential for sylvatic and urban Aedes mosquitoes from Senegal to transmit the new emerging dengue serotypes 1, 3 and 4 in West Africa","Dengue fever (DEN) is the most common arboviral disease in the world and dengue virus (DENV) causes 390 million annual infections around the world, of which 240 million are inapparent and 96 million are symptomatic. During the past decade a changing epidemiological pattern has been observed in Africa, with DEN outbreaks reported in all regions. In Senegal, all DENV serotypes have been reported. These important changes in the epidemiological profile of DEN are occurring in a context where there is no qualified vaccine against DEN. Further there is significant gap of knowledge on the vector bionomics and transmission dynamics in the African region to effectively prevent and control epidemics. Except for DENV-2, few studies have been performed with serotypes 1, 3, and 4, so this study was undertaken to fill out this gap. We assessed the vector competence of Aedes (Diceromyia) furcifer, Ae. (Diceromyia) taylori, Ae. (Stegomyia) luteocephalus, sylvatic and urban Ae. (Stegomyia) aegypti populations from Senegal for DENV-1, DENV-3 and DENV-4 using experimental oral infection. Whole bodies and wings/legs were tested for DENV presence by cell culture assays and saliva samples were tested by real time RT-PCR to estimate infection, disseminated infection and transmission rates. Our results revealed a low capacity of sylvatic and urban Aedes mosquitoes from Senegal to transmit DENV-1, DENV-3 and DENV-4 and an impact of infection on their mortality. The highest potential transmission rate was 20% despite the high susceptibility and disseminated infection rates up to 93.7% for the 3 Ae. aegypti populations tested, and 84.6% for the sylvatic vectors Ae. furcifer, Ae. taylori and Ae. luteocephalus. Author summary Dengue fever remains a major public health problem in all tropical regions of the world and causes 390 million infections each year. In Africa, while dengue outbreaks were rare during the last century, recurrent urban epidemic have been reported in all regions the last decade. Serotype 3, never reported in West Africa, caused major outbreaks in 2009 in several capital cities while serotype 2, usually confined to the forest cycle, spilled over into urban areas in Senegal and Mauritania in 2014-2015. These changes are occurring in a context where vector control remains the only effective approach to prevent and control epidemics. However, the design and the implementation of efficient vector control require an accurate knowledge of the vector bionomics and competence while such data are lacking in the African region. To fill out this gap we experimentally infected domestic and wild mosquitoes from Senegal to assess their vector competence for dengue serotypes 1, 3 and 4. Finally both domestic and wild Senegalese mosquitoes showed a low ability to transmit dengue viruses.",Y,,,,2019,"147,148,149,150,151,152,153,154,155,156,157,158,159,160"
"Long, KC; Sulca, J; Bazan, I; Astete, H; Jaba, HL; Siles, C; Kocher, C; Vilcarromero, S; Schwarz, J; Escobedo-Vargas, KS; Castro-Llanos, F; Angulo, L; Flores, G; Ramal-Asayag, C; Halsey, ES; Hontz, RD; Paz-Soldan, VA; Scott, TW; Lambrechts, L; Morrison, AC",10.1371/journal.pntd.0007116,PLOS NEGLECTED TROPICAL DISEASES,"Feasibility of feeding Aedes aegypti mosquitoes on dengue virus-infected human volunteers for vector competence studies in Iquitos, Peru","Background Transmission of dengue virus (DENV) from humans to mosquitoes represents a critical component of dengue epidemiology. Examinations of this process have generally been hampered by a lack of methods that adequately represent natural acquisition of DENV by mosquitoes from humans. In this study, we assessed artificial and natural blood feeding methods based on rates of DENV infection and dissemination within mosquitoes for use in a field-based epidemiological cohort study in Iquitos, Peru. Methodology/Principal findings Our study was implemented, stepwise, between 2011 and 2015. Participants who were 5 years and older with 5 or fewer days of fever were enrolled from ongoing clinic- and neighborhood-based studies on dengue in Iquitos. Wild type, laboratory-reared Aedes aegypti were fed directly on febrile individuals or on blood collected from participants that was either untreated or treated with EDTA. Mosquitoes were tested after approximately 14 days of extrinsic incubation for DENV infection and dissemination. A total of 58 participants, with viremias ranging from 1.3 x 10(2) to 2.9 x 10(6) focus-forming units per mL of serum, participated in one or more feeding methods. DENV infection and dissemination rates were not significantly different following direct and indirect-EDTA feeding; however, they were significantly lower for mosquitoes that fed indirectly on blood with no additive. Relative to direct feeding, infection rates showed greater variation following indirect-EDTA than indirect-no additive feeding. Dissemination rates were similar across all feeding methods. No differences were detected in DENV infection or dissemination rates in mosquitoes fed directly on participants with different dengue illness severity. Conclusions/Significance Our study demonstrates the feasibility of using direct and indirect feeding methods for field-based studies on vector competence. Direct mosquito feeding is preferable in terms of logistical ease, biosecurity, and reliability. Author summary In the context of ongoing clinic- and field-based epidemiological studies on dengue virus (DENV), we compared methods of feeding mosquitoes on blood from naturally infected humans. Participants chose to participate in direct (uninfected mosquitoes applied directly to skin) and/or indirect (uninfected mosquitoes fed on a membrane feeder in the laboratory with blood drawn from a participant) methods. Overall, rates of DENV infection and dissemination were lower in mosquitoes fed indirectly on blood with no additive than in mosquitoes fed directly on a participant. Rates of DENV infection and dissemination were similar between mosquitoes fed directly and indirectly when anticoagulant (EDTA) was added. The indirect-EDTA method resulted in more variable infection rates than the direct method. Our results demonstrate the feasibility of using either direct or indirect feeding methods to study DENV-human infectiousness to mosquito vectors. In our experience, however, direct feeding is preferable to indirect feeding in terms of logistical ease, biosecurity, and reliability.",Y,TBD,,,2019,"145,146"
"Mohlmann, TWR; Oymans, J; Schreur, PJW; Koenraadt, CJM; Kortekaas, J; Vogels, CBF",10.1371/journal.pntd.0006609,PLOS NEGLECTED TROPICAL DISEASES,Vector competence of biting midges and mosquitoes for Shuni virus,"Background Shuni virus (SHUV) is an orthobunyavirus that belongs to the Simbu serogroup. SHUV was isolated from diverse species of domesticated animals and wildlife, and is associated with neurological disease, abortions, and congenital malformations. Recently, SHUV caused outbreaks among ruminants in Israel, representing the first incursions outside the African continent. The isolation of SHUV from a febrile child in Nigeria and seroprevalence among veterinarians in South Africa suggests that the virus may have zoonotic potential as well. The high pathogenicity, extremely broad tropism, potential transmission via both biting midges and mosquitoes, and zoonotic features of SHUV require further investigation. This is important to accurately determine the risk for animal and human health, and to facilitate preparations for potential epidemics. To gain first insight into the potential involvement of biting midges and mosquitoes in SHUV transmission we have investigated the ability of SHUV to infect two species of laboratory-colonised biting midges and two species of mosquitoes. Methodology/Principal findings Culicoides nubeculosus, C. sonorensis, Culex pipiens pipiens, and Aedes aegypti were orally exposed to SHUV by providing an infectious blood meal. Biting midges showed high infection rates of approximately 40%-60%, whereas infection rates of mosquitoes were only 0-2%. Moreover, successful dissemination in both species of biting midges and no evidence for transmission by orally exposed mosquitoes was found. Conclusions/Significance The results of this study suggest that different species of Culicoides midges are efficient in SHUV transmission, while the involvement of mosquitoes has not been supported. Author summary Arthropod-borne (arbo)viruses are notorious for causing unpredictable and large-scale epidemics and epizootics. Apart from viruses such as West Nile virus and Rift Valley fever virus that are well-known to cause a significant impact on human and animal health, many arboviruses remain neglected. Shuni virus (SHUV) is a neglected virus with zoonotic characteristics that was recently associated with severe disease in livestock and wildlife. Isolations from field-collected biting midges and mosquitoes suggests that SHUV may be transmitted by these insects. In this study, four main vectors that transmit other arboviruses were selected to test their susceptibility to SHUV. Laboratory-reared biting midge species (Culicoides nubeculosus and C. sonorensis) and mosquito species (Culex pipiens pipiens and Aedes aegypti) were exposed to SHUV via an infectious blood meal. SHUV was able to successfully disseminate in both biting midge species, whereas no evidence of transmission by both mosquito species was found. Our results suggest that SHUV can be transmitted efficiently by diverse Culicoides species, and thereby that these insects could play a major role in the disease transmission cycle.",Y,,,,2019,"161,162"
"Pena-Garcia, VH; Sanchez-Vargas, I; Christofferson, R; Black, WC; Arboleda, S; Triana-Chavez, O",10.5334/aogh.2339,ANNALS OF GLOBAL HEALTH,Estimation of DENV-2 Transmission as a Function of Site-Specific Entomological Parameters from Three Cities in Colombia,"Background: Measuring dengue virus transmission in endemic areas is a difficult task as many variables drive transmission, and often are not independent of one another. Objectives: We aimed to determine the utility of vectorial capacity to explain the observed dengue infection rates in three hyperendemic cities in Colombia, and tested hypotheses related to three variables: mosquito density, effective vector competence, and biting rate. Methods: We estimated two of the most influential entomological variables related to cumulative vectorial capacity, which is a modification of the traditional vectorial capacity equation, of three Colombian mosquito populations. Laboratory studies were undertaken to measure vector competence and man biting rate of local mosquito populations. In addition, the assessment of cumulative vectorial capacity also incorporated site-specific estimations of mosquito density and the probability of daily survival from previous studies conducted in those cities. Findings: We found that the biting rates and mosquito infection rates differed among populations of mosquitoes from these three cities, resulting in differences in the site-specific measures of transmission potential. Specifically, we found that using site-specific entomological measures to populate the cumulative vectorial capacity equation was best at recapitulating observed mosquito infection rates when mosquito density was discounted compared to when we incorporated site-specific density measures. Conclusions: Specific mosquito-biting rate is likely sufficient to explain transmission differences in these three cities, confirming that this parameter is a critical parameter when predicting and assessing dengue transmission in three Colombian cities with different field observed transmission patterns.",Y,,,,2019,163
"Karna, AK; Bowen, RA",10.3390/v11010032,VIRUSES-BASEL,Experimental Evaluation of the Role of Ecologically-Relevant Hosts and Vectors in Japanese Encephalitis Virus Genotype Displacement,"Japanese encephalitis virus (JEV) is a flavivirus that is maintained via transmission between Culex spp. mosquitoes and water birds across a large swath of southern Asia and northern Australia. Currently JEV is the leading cause of vaccine-preventable encephalitis in humans in Asia. Five genotypes of JEV (G-I-G-V) have been responsible for historical and current outbreaks in endemic regions, and G-I and G-III co-circulate throughout Southern Asia. While G-III has historically been the dominant genotype worldwide, G-I has gradually but steadily displaced G-III. The objective of this study was to better understand the phenomenon of genotype displacement for JEV by evaluating both avian host and mosquito vector susceptibilities to infection with representatives from both G-I and G-III. Since ducks and Culex quinquefasciatus mosquitoes are prevalent avian hosts and vectors perpetuating JEV transmission in JE endemic areas, experimental evaluation of virus replication in these species was considered to approximate the natural conditions necessary for studying the role of host, vectors and viral fitness in the JEV genotype displacement context. We evaluated viremia in ducklings infected with G-I and G-III, and did not detect differences in magnitude or duration of viremia. Testing the same viruses in mosquitoes revealed that the rates of infection, dissemination and transmission were higher in virus strains belonging to G-I than G-III, and that the extrinsic incubation period was shorter for the G-I strains. These data suggest that the characteristics of JEV infection of mosquitoes but not of ducklings, may have play a role in genotype displacement.",Y,Other study aim,,,2019,164
"Moltini-Conclois, I; Stalinski, R; Tetreau, G; Despres, L; Lambrechts, L",10.3390/insects9040193,INSECTS,Larval Exposure to the Bacterial Insecticide Bti Enhances Dengue Virus Susceptibility of Adult Aedes aegypti Mosquitoes,"Understanding the interactions between pathogens sharing the same host can be complicated for holometabolous animals when larval and adult stages are exposed to distinct pathogens. In medically important insect vectors, the effect of pathogen exposure at the larval stage may influence susceptibility to human pathogens at the adult stage. We addressed this hypothesis in the mosquito Aedes aegypti, a major vector of arthropod-borne viruses (arboviruses), such as the dengue virus (DENV) and the chikungunya virus (CHIKV). We experimentally assessed the consequences of sub-lethal exposure to the bacterial pathogen Bacillus thuringiensis subsp. israelensis (Bti), during larval development, on arbovirus susceptibility at the adult stage in three Ae. aegypti strains that differ in their genetic resistance to Bti. We found that larval exposure to Bti significantly increased DENV susceptibility, but not CHIKV susceptibility, in the Bti-resistant strains. However, there was no major difference in the baseline arbovirus susceptibility between the Bti-resistant strains and their Bti-susceptible parental strain. Although the generality of our results remains to be tested with additional arbovirus strains, this study supports the idea that the outcome of an infection by a pathogen depends on other pathogens sharing the same host even when they do not affect the same life stage of the host. Our findings may also have implications for Bti as a mosquito biocontrol agent, indicating that the sub-optimal Bti efficacy may have counter-productive effects by increasing vector competence, at least for some combinations of arbovirus and mosquito strains.",M,Confounding treatments ,,,2018,"165,166"
"Mohlmann, TWR; Oymans, J; Schreur, PJW; Koenraadt, CJM; Kortekaas, J; Vogels, CBF",10.1371/journal.pntd.0006993,PLOS NEGLECTED TROPICAL DISEASES,Vector competence of biting midges and mosquitoes for Shuni virus,"Background Shuni virus (SHUV) is an orthobunyavirus that belongs to the Simbu serogroup. SHUV was isolated from diverse species of domesticated animals and wildlife, and is associated with neurological disease, abortions, and congenital malformations. Recently, SHUV caused outbreaks among ruminants in Israel, representing the first incursions outside the African continent. The isolation of SHUV from a febrile child in Nigeria and seroprevalence among veterinarians in South Africa suggests that the virus may have zoonotic potential as well. The high pathogenicity, extremely broad tropism, potential transmission via both biting midges and mosquitoes, and zoonotic features warrants prioritization of SHUV for further research. Additional knowledge is essential to accurately determine the risk for animal and human health, and to assess the risk of future epizootics and epidemics. To gain first insights into the potential involvement of arthropod vectors in SHUV transmission, we have investigated the ability of SHUV to infect and disseminate in laboratory-reared biting midges and mosquitoes. Methodology/Principal findings Culicoides nubeculosus, C. sonorensis, Culex pipiens pipiens, and Aedes aegypti were orally exposed to SHUV by providing an infectious blood meal. Biting midges showed high infection rates of approximately 40-60%, whereas infection rates of mosquitoes were lower than 2%. SHUV successfully disseminated in both species of biting midges, but no evidence of transmission in orally exposed mosquitoes was found. Conclusions/Significance The results of this study show that different species of Culicoides biting midges are susceptible to infection and dissemination of SHUV, whereas the two mosquito species tested were found not to be susceptible.",Y,,,,2018,"167,168"
"Brustolin, M; Santamaria, C; Napp, S; Verdun, M; Rivas, R; Pujol, N; Talavera, S; Busquets, N",10.1111/mve.12325,MEDICAL AND VETERINARY ENTOMOLOGY,Experimental study of the susceptibility of a European Aedes albopictus strain to dengue virus under a simulated Mediterranean temperature regime,"Dengue virus (DENV) has re-emerged in Europe driven by the geographic expansion of the mosquito species Aedes albopictus and Aedes aegypti (Diptera: Culicidae) and the introduction of the virus by viraemic travellers. In the present study, the vector competence (VC) of Ae. albopictus collected in Catalonia (northeast Spain) was evaluated for two different DENV strains, DENV-1 and DENV-2, the serotypes responsible for all outbreaks of dengue that have occurred in Europe. Mosquitoes were reared under environmental conditions mimicking the mean temperature and humidity recorded in July on the Mediterranean coast of Catalonia. Mosquitoes were fed on an artificial infectious bloodmeal and, at 14 days post-exposure, infection, disseminated infection and transmission rates (IR, DIR, TR) and transmission efficiency (TE) were determined by testing the virus in the body, legs and saliva. The tested Ae. albopictus strain was found to be susceptible to both DENV-1 and DENV-2 and to be able to transmit DENV-1. This is the first time that the VC of Ae. albopictus for DENV has been tested in Europe in this specific context (i.e. mimicking the Mediterranean temperature and humidity recorded in Catalonia in July). This study confirms the potential of Ae. albopictus to start autochthonous DENV transmission cycles in the Mediterranean basin.",Y,,,,2018,"169,170"
"Jansen, S; Heitmann, A; Luhken, R; Jost, H; Helms, M; Vapalahti, O; Schmidt-Chanasit, J; Tannich, E",10.1038/s41426-018-0195-x,EMERGING MICROBES & INFECTIONS,Experimental transmission of Zika virus by Aedes japonicus japonicus from southwestern Germany,"The invasive mosquito species Aedes japonicus japonicus (Ae. japonicus) is widely distributed in Central Europe and is a known vector of various arboviruses in the laboratory, including flaviviruses such as Japanese Encephalitis virus or West Nile virus. However, the vector competence of Ae. japonicus for the recently emerging Zika virus (ZIKV) has not been determined. Therefore, field-caught Ae. japonicus from Germany were orally infected with ZIKV and incubated at 21, 24, or 27 degrees C to evaluate the vector competence under climate conditions representative of the temperate regions (21 degrees C) in the species' main distribution area in Europe and of Mediterranean regions (27 degrees C). Aedes japonicus was susceptible to ZIKV at all temperatures, showing infection rates between 10.0% (21 degrees C) and 66.7% (27 degrees C). However, virus transmission was detected exclusively at 27 degrees C with a transmission rate of 14.3% and a transmission efficiency of 9.5%. Taking into account the present distribution of Ae. japonicus in the temperate regions of Central Europe, the risk of ZIKV transmission by the studied Ae. japonicus population in Central Europe has to be considered as low. Nevertheless, due to the species' vector competence for ZIKV and other mosquito-borne viruses, in combination with the possibility of further spread to Mediterranean regions, Ae. japonicus must be kept in mind as a potential vector of pathogens inside and outside of Europe.",Y,,,,2018,"171,172"
"Brustolin, M; Pujhari, S; Henderson, CA; Rasgon, JL",10.1371/journal.pntd.0006895,PLOS NEGLECTED TROPICAL DISEASES,Anopheles mosquitoes may drive invasion and transmission of Mayaro virus across geographically diverse regions,"The Togavirus (Alphavirus) Mayaro virus (MAYV) was initially described in 1954 from Mayaro County (Trinidad) and has been responsible for outbreaks in South America and the Caribbean. Imported MAYV cases are on the rise, leading to invasion concerns similar to Chikungunya and Zika viruses. Little is known about the range of mosquito species that are competent MAYV vectors. We tested vector competence of 2 MAYV genotypes in laboratory strains of six mosquito species (Aedes aegypti, Anopheles freeborni, An. gambiae, An. quadrimaculatus, An. stephensi, Culex quinquefasciatus). Ae. aegypti and Cx. quinquefasciatus were poor MAYV vectors, and had either poor or null infection and transmission rates at the tested viral challenge titers. In contrast, all Anopheles species were able to transmit MAYV, and 3 of the 4 species transmitted both genotypes. The Anopheles species tested are divergent and native to widely separated geographic regions (Africa, Asia, North America), suggesting that Anopheles may be important in the invasion and spread of MAYV across diverse regions of the world.",Y,,,,2018,"173,174,175,176,177,178,179,180,181,182,183,184"
"Lwande, OW; Nslund, J; Lundmark, E; Ahlm, K; Ahlm, C; Bucht, G; Evander, M",10.1089/vbz.2018.2311,VECTOR-BORNE AND ZOONOTIC DISEASES,Experimental Infection and Transmission Competence of Sindbis Virus in Culex torrentium and Culex pipiens Mosquitoes from Northern Sweden,"Introduction: Sindbis virus (SINV) is a mosquito-borne Alphavirus known to infect birds and cause intermittent outbreaks among humans in Fenno-Scandia. In Sweden, the endemic area has mainly been in central Sweden. Recently, SINV infections have emerged to northern Sweden, but the vectorial efficiency for SINV of mosquito species in this northern region has not yet been ascertained. Objective: Mosquito larvae were sampled from the Umea region in northern Sweden and propagated in a laboratory to adult stage to investigate the infection, dissemination, and transmission efficiency of SINV in mosquitoes. Materials and Methods: The mosquito species were identified by DNA barcoding of the cytochrome oxidase I gene. Culex torrentium was the most abundant (82.2%) followed by Culex pipiens (14.4%), Aedes annulipes (1.1%), Anopheles claviger (1.1%), Culiseta bergrothi (1.1%), or other unidentified species (1.1%). Mosquitoes were fed with SINV-infected blood and monitored for 29 days to determine the viral extrinsic incubation period. Infection and dissemination were determined by RT-qPCR screening of dissected body parts of individual mosquitoes. Viral transmission was determined from saliva collected from individual mosquitoes at 7, 14, and 29 days. SINV was detected by cell culture using BHK-21 cells, RT-qPCR, and sequencing. Results:Cx. torrentium was the only mosquito species in our study that was able to transmit SINV. The overall transmission efficiency of SINV in Cx. torrentium was 6.8%. The rates of SINV infection, dissemination, and transmission in Cx. torrentium were 11%, 75%, and 83%, respectively. Conclusions:Cx. torrentium may be the key vector involved in SINV transmission in northern Sweden.",Y,,,,2019,"185,186,187,188,189"
